Danio_rerio	drer
Xenopus_tropicalis	xtro
Anolis_carolinensis	acar
Gallus_gallus	ggal
Homo_sapiens	hsap
Oikopleura_dioica	odio
Ciona_intestinalis	cint
Botryllus_schlosseri	bsch
Branchiostoma_floridae	bflo
Branchiostoma_belcheri	bbel
Patiria_miniata	pmin
Strongylocentrotus_purpuratus	spur
Lytechinus_variegatus	lvar
Saccoglossus_kowalevskii	skow
Ptychodera_flava	pfla
Hypsibius_dujardini	hduj
Ramazzottius_varieornatus	rvar
Stegodyphus_mimosarum	smim
Acanthoscurria_geniculata	agen
Ixodes_scapularis	isca
Mesobuthus_martensii	mmar
Limulus_polyphemus	lpol
Daphnia_pulex	dpul
Parhyale_hawaiensis	phaw
Tribolium_castaneum	tcas
Drosophila_melanogaster	dmel
Zootermopsis_nevadensis	znev
Strigamia_maritima	smar
Brugia_malayi	bmal
Caenorhabditis_elegans	cele
Trichinella_spiralis	tspi
Romanomermis_culicivorax	rcul
Helobdella_robusta	hrob
Capitella_teleta	ctel
Lingula_anatina	lana
Crassostrea_gigas	cgig
Pinctada_fucata	pfuc
Octopus_bimaculoides	obim
Lottia_gigantea	lgig
Intoshia_linei	ilin
Hymenolepis_microstoma	hmic
Echinococcus_multilocularis	emul
Gyrodactylus_salaris	gsal
Schmidtea_mediterranea	smed
Macrostomum_lignano	mlig
Schistosoma_japonicum	sjap
Adineta_vaga	avag
Aiptasia_pallida	apal
Nematostella_vectensis	nvec
Acropora_digitifera	adig
Hydra_magnipapillata	hmag
Thelohanellus_kitauei	tkit
Pleurobrachia_bachei	pbac
Mnemiopsis_leidyi	mlei
Trichoplax_adhaerens	tadh
Leucosolenia_complicata	lcom
Sycon_ciliatum	scil
Amphimedon_queenslandica	aque
Oscarella_carmela	ocar
Monosiga_brevicollis	mbre
Salpingoeca_rosetta	sros
Capsaspora_owczarzaki	cowc
Corallochytrium_limacisporum	clim
Creolimax_fragrantissima	cfra
Abeoforma_whisleri	awhi
Sphaeroforma_arctica	sarc
Ichthyophonus_nk52	nk52
Polysphondylium_pallidum	ppal
Dictyostelium_discoideum	ddis
Acanthamoeba_castellanii	acas
Entamoeba_histolytica	ehis
Fonticula_alba	falb
Saccharomyces_cerevisiae	scer
Tuber_melanosporum	tmel
Allomyces_macrogynus	amac
Spizellomyces_punctatus	spun
Thecamonas_trahens	ttra
Chondrus_crispus	ccri
Chlamydomonas_reinhardtii	crei
Klebsormidium_flaccidum	kfla
Cyanophora_paradoxa	cpar
Volvox_carteri	vcar
Ostreococcus_tauri	otau
Physcomitrella_patens	ppat
Selaginella_moellendorffii	smoe
Arabidopsis_thaliana	atha
Giardia_lamblia	glam
Trypanosoma_cruzi	tcru
Naegleria_gruberi	ngru
Trichomonas_vaginalis	tvag
Guillardia_theta	gthe
Emiliana_huxleyii	ehux
Toxoplasma_gondii	tgon
Paramecium_tetraurelia	ptet
Symbiodinium_minutum	smin
Perkinsus_marinus	pmar
Bigelowiella_natans	bnat
Reticulomyxa_filosa	rfil
Phaeodactylum_tricornutum	ptri
Thalassiosira_pseudonana	tpse
Aplanochytrium_kerguelense	aker
Phytophthora_infestans	pinf

